../../data/Meshes/Car\m1513.obj SUCCESS, vertex count: 13315
../../data/Meshes/Car\m1514.obj SUCCESS, vertex count: 18701
../../data/Meshes/Car\m1515.obj SUCCESS, vertex count: 13585
../../data/Meshes/Car\m1516.obj SUCCESS, vertex count: 12368
../../data/Meshes/Car\m1517.obj SUCCESS, vertex count: 4234
../../data/Meshes/Car\m1518.obj SUCCESS, vertex count: 7339
../../data/Meshes/Car\m1519.obj SUCCESS, vertex count: 4075
../../data/Meshes/Car\m1521.obj SUCCESS, vertex count: 4726
../../data/Meshes/Car\m1522.obj SUCCESS, vertex count: 11051
../../data/Meshes/Car\m1523.obj SUCCESS, vertex count: 7290
../../data/Meshes/Car\m1524.obj SUCCESS, vertex count: 6038
../../data/Meshes/Car\m1525.obj SUCCESS, vertex count: 10749
../../data/Meshes/Car\m1526.obj SUCCESS, vertex count: 4886
../../data/Meshes/Car\m1527.obj SUCCESS, vertex count: 7718
../../data/Meshes/Car\m1528.obj SUCCESS, vertex count: 19584
../../data/Meshes/Car\m1529.obj SUCCESS, vertex count: 4544
../../data/Meshes/Car\m1530.obj SUCCESS, vertex count: 4948
../../data/Meshes/Car\m1531.obj SUCCESS, vertex count: 8821
../../data/Meshes/Car\m1532.obj SUCCESS, vertex count: 7481
../../data/Meshes/Car\m1533.obj SUCCESS, vertex count: 7548
../../data/Meshes/Car\m1535.obj SUCCESS, vertex count: 16501
../../data/Meshes/Car\m1536.obj SUCCESS, vertex count: 5996
../../data/Meshes/Car\m1538.obj SUCCESS, vertex count: 7290
../../data/Meshes/Car\m1539.obj SUCCESS, vertex count: 8254
../../data/Meshes/Car\m1540.obj SUCCESS, vertex count: 8468
../../data/Meshes/Car\m1542.obj SUCCESS, vertex count: 5968
../../data/Meshes/Car\m1543.obj SUCCESS, vertex count: 5138
../../data/Meshes/Car\m1544.obj SUCCESS, vertex count: 62579
../../data/Meshes/Car\m1545.obj SUCCESS, vertex count: 8559
../../data/Meshes/Car\m1546.obj SUCCESS, vertex count: 9216
../../data/Meshes/Car\m1547.obj SUCCESS, vertex count: 14249
../../data/Meshes/Car\m1548.obj SUCCESS, vertex count: 8559
../../data/Meshes/Car\m1550.obj SUCCESS, vertex count: 9790
../../data/Meshes/Car\m1551.obj SUCCESS, vertex count: 19251
../../data/Meshes/Car\m1552.obj SUCCESS, vertex count: 5249
../../data/Meshes/Car\m1553.obj SUCCESS, vertex count: 5259
../../data/Meshes/Car\m1555.obj SUCCESS, vertex count: 17110
../../data/Meshes/Car\m1556.obj SUCCESS, vertex count: 37067
../../data/Meshes/Car\m1557.obj SUCCESS, vertex count: 8489
../../data/Meshes/Car\m1558.obj SUCCESS, vertex count: 7264
../../data/Meshes/Car\m1559.obj SUCCESS, vertex count: 15773
../../data/Meshes/Car\m1560.obj SUCCESS, vertex count: 21830
../../data/Meshes/Car\m1561.obj SUCCESS, vertex count: 4625
../../data/Meshes/Car\m1562.obj SUCCESS, vertex count: 11964
../../data/Meshes/Car\m1563.obj SUCCESS, vertex count: 9049
