../../data/Meshes/Gun\D00282.obj SUCCESS, vertex count: 15636
../../data/Meshes/Gun\D00368.obj SUCCESS, vertex count: 4651
../../data/Meshes/Gun\D00425.obj SUCCESS, vertex count: 11484
../../data/Meshes/Gun\D00477.obj SUCCESS, vertex count: 8048
../../data/Meshes/Gun\D00606.obj SUCCESS, vertex count: 13360
../../data/Meshes/Gun\D00802.obj SUCCESS, vertex count: 4530
../../data/Meshes/Gun\D00819.obj SUCCESS, vertex count: 17412
../../data/Meshes/Gun\D00826.obj SUCCESS, vertex count: 11930
../../data/Meshes/Gun\D00929.obj SUCCESS, vertex count: 11190
../../data/Meshes/Gun\D00972.obj SUCCESS, vertex count: 28444
../../data/Meshes/Gun\m648.obj SUCCESS, vertex count: 4880
../../data/Meshes/Gun\m649.obj SUCCESS, vertex count: 4417
../../data/Meshes/Gun\m650.obj SUCCESS, vertex count: 5791
../../data/Meshes/Gun\m651.obj SUCCESS, vertex count: 5159
../../data/Meshes/Gun\m652.obj SUCCESS, vertex count: 5764
../../data/Meshes/Gun\m653.obj SUCCESS, vertex count: 8612
../../data/Meshes/Gun\m654.obj SUCCESS, vertex count: 4196
../../data/Meshes/Gun\m655.obj SUCCESS, vertex count: 5644
../../data/Meshes/Gun\m656.obj SUCCESS, vertex count: 15647
../../data/Meshes/Gun\m657.obj SUCCESS, vertex count: 18301
../../data/Meshes/Gun\m658.obj SUCCESS, vertex count: 4502
../../data/Meshes/Gun\m659.obj SUCCESS, vertex count: 4714
../../data/Meshes/Gun\m660.obj SUCCESS, vertex count: 4418
../../data/Meshes/Gun\m661.obj SUCCESS, vertex count: 5567
../../data/Meshes/Gun\m662.obj SUCCESS, vertex count: 6797
../../data/Meshes/Gun\m663.obj SUCCESS, vertex count: 7492
../../data/Meshes/Gun\m664.obj SUCCESS, vertex count: 4651
../../data/Meshes/Gun\m665.obj SUCCESS, vertex count: 7459
../../data/Meshes/Gun\m666.obj SUCCESS, vertex count: 13502
../../data/Meshes/Gun\m667.obj SUCCESS, vertex count: 12482
../../data/Meshes/Gun\m668.obj SUCCESS, vertex count: 5466
../../data/Meshes/Gun\m669.obj SUCCESS, vertex count: 4574
../../data/Meshes/Gun\m670.obj SUCCESS, vertex count: 13092
../../data/Meshes/Gun\m671.obj SUCCESS, vertex count: 4684
../../data/Meshes/Gun\m672.obj SUCCESS, vertex count: 8078
../../data/Meshes/Gun\m674.obj SUCCESS, vertex count: 7747
../../data/Meshes/Gun\m675.obj SUCCESS, vertex count: 6808
../../data/Meshes/Gun\m676.obj SUCCESS, vertex count: 7550
../../data/Meshes/Gun\m677.obj SUCCESS, vertex count: 13284
../../data/Meshes/Gun\m678.obj SUCCESS, vertex count: 5694
../../data/Meshes/Gun\m679.obj SUCCESS, vertex count: 8070
../../data/Meshes/Gun\m680.obj SUCCESS, vertex count: 11350
../../data/Meshes/Gun\m681.obj SUCCESS, vertex count: 9569
../../data/Meshes/Gun\m682.obj SUCCESS, vertex count: 7986
../../data/Meshes/Gun\m683.obj SUCCESS, vertex count: 7604
../../data/Meshes/Gun\m684.obj SUCCESS, vertex count: 27870
../../data/Meshes/Gun\m685.obj SUCCESS, vertex count: 4364
../../data/Meshes/Gun\m686.obj SUCCESS, vertex count: 4714
