Class,FileName,VertexCount,FaceCount,EdgeCount
AircraftBuoyant,m1337.obj,2841,5440,0
AircraftBuoyant,m1338.obj,8761,16960,0
AircraftBuoyant,m1340.obj,2141,4138,0
AircraftBuoyant,m1341.obj,2953,5870,0
AircraftBuoyant,m1342.obj,2836,5444,0
AircraftBuoyant,m1343.obj,2751,5490,0
AircraftBuoyant,m1344.obj,2145,3998,0
AircraftBuoyant,m1345.obj,3174,6000,0
AircraftBuoyant,m1346.obj,2475,4770,0
AircraftBuoyant,m1347.obj,3052,6268,0
AircraftBuoyant,m1348.obj,2486,4793,0
AircraftBuoyant,m1349.obj,2554,5010,0
AircraftBuoyant,m1350.obj,2952,5682,0
AircraftBuoyant,m1351.obj,12985,24464,0
AircraftBuoyant,m1352.obj,3236,6348,0
Apartment,D00045.obj,14865,21021,0
Apartment,D00086.obj,20462,42064,0
Apartment,D00138.obj,10710,21124,0
Apartment,D00156.obj,11745,19380,0
Apartment,D00310.obj,5934,9480,0
Apartment,D00348.obj,2006,3008,0
Apartment,D00366.obj,2576,5102,0
Apartment,D00478.obj,15670,25206,0
Apartment,D00496.obj,2906,4899,0
Apartment,D00626.obj,30598,64688,0
Apartment,D00639.obj,4282,7980,0
Apartment,D00651.obj,11752,19380,0
Apartment,D00681.obj,12682,15541,0
Apartment,D00780.obj,8240,13684,0
Apartment,D00792.obj,2520,4514,0
Apartment,D00859.obj,2478,4362,0
Apartment,D00860.obj,15670,25206,0
Apartment,D00869.obj,4847,9069,0
Apartment,D00921.obj,6689,7983,0
Apartment,D00953.obj,4156,7140,0
Apartment,m463.obj,2022,3672,0
Apartment,m464.obj,8297,12810,0
Apartment,m465.obj,2335,4363,0
AquaticAnimal,m53.obj,18409,34877,0
AquaticAnimal,m54.obj,18143,33836,0
AquaticAnimal,m55.obj,19505,37072,0
AquaticAnimal,m56.obj,5814,10893,0
AquaticAnimal,m57.obj,18878,36278,0
AquaticAnimal,m58.obj,2671,5338,0
AquaticAnimal,m59.obj,2172,4330,0
AquaticAnimal,m60.obj,4383,8762,0
AquaticAnimal,m61.obj,2606,4943,0
AquaticAnimal,m62.obj,2486,4968,0
AquaticAnimal,m63.obj,2766,5056,0
AquaticAnimal,m64.obj,2985,5797,0
AquaticAnimal,m65.obj,2766,5452,0
AquaticAnimal,m66.obj,4116,8196,0
AquaticAnimal,m67.obj,14000,27996,0
AquaticAnimal,m68.obj,4590,9172,0
AquaticAnimal,m69.obj,2982,5846,0
AquaticAnimal,m70.obj,3196,6256,0
AquaticAnimal,m71.obj,3636,7268,0
AquaticAnimal,m72.obj,3397,6706,0
AquaticAnimal,m73.obj,3446,6866,0
AquaticAnimal,m74.obj,3932,7889,0
AquaticAnimal,m75.obj,3362,6578,0
AquaticAnimal,m76.obj,3561,7119,0
AquaticAnimal,m77.obj,11578,23022,0
AquaticAnimal,m78.obj,3288,6341,0
AquaticAnimal,m79.obj,4442,8320,0
AquaticAnimal,m80.obj,3051,6007,0
AquaticAnimal,m81.obj,2361,4648,0
Bed,D00031.obj,4871,9382,0
Bed,D00110.obj,4613,8936,0
Bed,D00121.obj,12384,24612,0
Bed,D00184.obj,7218,14204,0
Bed,D00210.obj,17296,34247,0
Bed,D00213.obj,2277,4536,0
Bed,D00217.obj,3238,6272,0
Bed,D00307.obj,2644,5259,0
Bed,D00322.obj,7442,14796,0
Bed,D00417.obj,12236,24464,0
Bed,D00538.obj,7136,13868,0
Bed,D00545.obj,2682,5335,0
Bed,D00552.obj,6349,12251,0
Bed,D00565.obj,2210,4343,0
Bed,D00650.obj,3752,7443,0
Bed,D00735.obj,3248,5984,0
Bed,D00836.obj,3002,6002,0
Bed,D00839.obj,16364,32648,0
Bed,D00969.obj,12375,23918,0
Bed,D00988.obj,4475,8886,0
Bed,m945.obj,8112,15659,0
Bed,m946.obj,2508,4686,0
Bed,m947.obj,2421,4508,0
Bed,m948.obj,4597,9038,0
Bed,m949.obj,4990,9956,0
Bed,m950.obj,2390,4570,0
Bed,m951.obj,3124,5780,0
Bicycle,D00016.obj,2769,5049,0
Bicycle,D00033.obj,2192,4448,0
Bicycle,D00040.obj,25426,50650,0
Bicycle,D00077.obj,16416,32265,0
Bicycle,D00078.obj,22674,44740,0
Bicycle,D00462.obj,56754,111471,0
Bicycle,D00514.obj,6951,12939,0
Bicycle,D00536.obj,29824,60296,0
Bicycle,D00555.obj,34292,64544,0
Bicycle,D00558.obj,19417,37661,0
Bicycle,D00567.obj,2888,5820,0
Bicycle,D00621.obj,2769,5049,0
Bicycle,D00708.obj,22495,44110,0
Bicycle,D00750.obj,2877,5484,0
Bicycle,D00838.obj,23397,45925,0
Bicycle,D00847.obj,22672,44707,0
Bicycle,D00904.obj,5354,10548,0
Bicycle,D00930.obj,29021,56918,0
Bicycle,D00931.obj,32603,64230,0
Bicycle,D00974.obj,6045,12065,0
Bicycle,m1472.obj,3231,6082,0
Bicycle,m1473.obj,2192,4448,0
Bicycle,m1475.obj,6045,12065,0
Bicycle,m1476.obj,3266,6576,0
Bicycle,m1477.obj,22672,44707,0
Bicycle,m1478.obj,2769,5049,0
Biplane,D00069.obj,3242,6326,0
Biplane,D00132.obj,4759,8892,0
Biplane,D00178.obj,4566,7609,0
Biplane,D00199.obj,2584,3764,0
Biplane,D00246.obj,5022,9353,0
Biplane,D00276.obj,3548,6944,0
Biplane,D00277.obj,22419,41567,0
Biplane,D00320.obj,9723,17476,0
Biplane,D00373.obj,5941,12536,0
Biplane,D00410.obj,2167,4254,0
Biplane,D00490.obj,23374,46318,0
Biplane,D00515.obj,5379,10522,0
Biplane,D00601.obj,17850,36024,0
Biplane,D00616.obj,17875,37022,0
Biplane,D00632.obj,3854,7384,0
Biplane,D00634.obj,40788,77095,0
Biplane,D00666.obj,3095,5872,0
Biplane,D00854.obj,18832,37124,0
Biplane,D00890.obj,24430,47357,0
Biplane,D00900.obj,26728,49863,0
Biplane,m1118.obj,10676,20408,0
Biplane,m1119.obj,4292,8390,0
Biplane,m1120.obj,65698,129855,0
Biplane,m1121.obj,2228,4212,0
Biplane,m1122.obj,6704,11577,0
Biplane,m1123.obj,2143,3956,0
Biplane,m1124.obj,2228,4112,0
Biplane,m1125.obj,2548,4694,0
Biplane,m1126.obj,3391,6464,0
Biplane,m1127.obj,2098,3900,0
Biplane,m1128.obj,3670,6988,0
Biplane,m1129.obj,3351,6272,0
Biplane,m1131.obj,2792,5294,0
Biplane,m1132.obj,3336,6196,0
Biplane,m1133.obj,3804,7284,0
Biplane,m1134.obj,2051,3778,0
Biplane,m1135.obj,4903,9288,0
Biplane,m1136.obj,3945,7634,0
Biplane,m1137.obj,2202,3953,0
Biplane,m1138.obj,2050,3586,0
Biplane,m1139.obj,2920,4234,0
Biplane,m1141.obj,11819,23138,0
Biplane,m1143.obj,3336,6570,0
Biplane,m1144.obj,3627,6736,0
Biplane,m1146.obj,2681,4912,0
Bird,D00089.obj,3008,6012,0
Bird,D00113.obj,15871,31702,0
Bird,D00164.obj,8188,16135,0
Bird,D00234.obj,2356,4678,0
Bird,D00271.obj,12813,24753,0
Bird,D00284.obj,13253,26516,0
Bird,D00323.obj,2621,5028,0
Bird,D00386.obj,3612,7220,0
Bird,D00438.obj,4295,8691,0
Bird,D00442.obj,8996,17119,0
Bird,D00546.obj,2124,3858,0
Bird,D00599.obj,4063,8196,0
Bird,D00625.obj,2569,4010,0
Bird,D00689.obj,2683,5388,0
Bird,D00736.obj,3947,7898,0
Bird,D00762.obj,2533,5062,0
Bird,D00862.obj,2376,4744,0
Bird,D00922.obj,2063,4114,0
Bird,D00961.obj,3572,7226,0
Bird,D00999.obj,2381,4760,0
Bird,m28.obj,6058,11658,0
Bird,m29.obj,2972,5878,0
Bird,m30.obj,3715,7544,0
Bird,m31.obj,5110,10148,0
Bird,m32.obj,2890,5768,0
Bird,m33.obj,3144,6164,0
Bird,m34.obj,3013,6022,0
Bird,m35.obj,2538,5072,0
Bird,m36.obj,2136,4188,0
Bird,m37.obj,4058,8112,0
Bird,m38.obj,2456,4910,0
Bird,m39.obj,3696,7214,0
Bird,m40.obj,2684,5390,0
Bird,m41.obj,4283,8667,0
Bird,m42.obj,2869,5694,0
Bird,m43.obj,4049,7809,0
Bird,m44.obj,3468,6932,0
Bird,m45.obj,16542,33072,0
Bird,m47.obj,2492,4818,0
Bird,m48.obj,5377,10628,0
Bird,m49.obj,2324,4347,0
Bird,m50.obj,5412,10820,0
Bird,m51.obj,3412,6804,0
Bird,m52.obj,4092,8156,0
Bookset,D01009.obj,3296,7008,0
Bookset,D01013.obj,2200,3380,0
Bookset,D01030.obj,6626,13238,0
Bookset,D01038.obj,2208,14844,0
Bookset,D01042.obj,5048,9695,0
Bookset,D01050.obj,4851,9682,0
Bookset,D01065.obj,2443,3776,0
Bookset,D01078.obj,2275,4430,0
Bookset,D01096.obj,4284,7427,0
Bookset,D01108.obj,3418,6982,0
Bookset,D01109.obj,2278,4436,0
Bookset,D01110.obj,5733,11514,0
Bookset,D01122.obj,4289,8626,0
Bookset,D01135.obj,3330,6940,0
Bookset,D01146.obj,2291,7149,0
Bookset,D01182.obj,4530,8998,0
Bookset,D01183.obj,2439,4112,0
Bookset,D01184.obj,5448,11227,0
Bookset,D01190.obj,2393,14484,0
Bookset,D01199.obj,5517,11222,0
Bottle,D00020.obj,2357,4710,0
Bottle,D00123.obj,3258,6366,0
Bottle,D00139.obj,2452,4860,0
Bottle,D00166.obj,23142,45936,0
Bottle,D00176.obj,7138,14272,0
Bottle,D00208.obj,5597,11186,0
Bottle,D00281.obj,3064,6072,0
Bottle,D00311.obj,2033,4058,0
Bottle,D00347.obj,2165,4296,0
Bottle,D00350.obj,3031,6003,0
Bottle,D00390.obj,4924,9808,0
Bottle,D00451.obj,9202,18236,0
Bottle,D00679.obj,11776,23052,0
Bottle,D00696.obj,13038,25850,0
Bottle,D00711.obj,2621,5176,0
Bottle,D00716.obj,3268,6507,0
Bottle,D00726.obj,9294,18390,0
Bottle,D00892.obj,2474,4940,0
Bottle,D00940.obj,4842,9670,0
Bottle,D00959.obj,3381,6576,0
Bottle,m482.obj,4255,8134,0
Bottle,m483.obj,3013,5664,0
Bottle,m484.obj,4530,9022,0
Bottle,m485.obj,4144,7976,0
Bottle,m486.obj,2101,3894,0
Bottle,m487.obj,5066,10512,0
Bottle,m488.obj,6271,12538,0
Bottle,m489.obj,6358,12490,0
Bottle,m490.obj,2130,4140,0
Bottle,m491.obj,2065,3952,0
Bottle,m492.obj,4455,8908,0
BuildingNonResidential,m382.obj,2468,4712,0
BuildingNonResidential,m383.obj,2328,4460,0
BuildingNonResidential,m384.obj,2876,4686,0
BuildingNonResidential,m385.obj,5519,9462,0
BuildingNonResidential,m386.obj,4900,9744,0
BuildingNonResidential,m387.obj,2617,5214,0
BuildingNonResidential,m389.obj,2509,5100,0
BuildingNonResidential,m390.obj,5534,10436,0
BuildingNonResidential,m391.obj,4065,7134,0
BuildingNonResidential,m392.obj,2094,4288,0
BuildingNonResidential,m393.obj,5126,9606,0
BuildingNonResidential,m394.obj,2205,4209,0
BuildingNonResidential,m395.obj,2635,4502,0
BuildingNonResidential,m396.obj,2209,3692,0
BuildingNonResidential,m397.obj,3874,7704,0
BuildingNonResidential,m398.obj,2824,5588,0
BuildingNonResidential,m399.obj,7466,13536,0
BuildingNonResidential,m400.obj,3812,7488,0
BuildingNonResidential,m401.obj,6912,13361,0
BuildingNonResidential,m402.obj,21085,41649,0
BuildingNonResidential,m404.obj,3998,9538,0
BuildingNonResidential,m405.obj,20958,41835,0
BuildingNonResidential,m406.obj,7223,13892,0
BuildingNonResidential,m407.obj,5374,10340,0
BuildingNonResidential,m408.obj,4494,8808,0
BuildingNonResidential,m409.obj,3069,4753,0
BuildingNonResidential,m410.obj,3111,5848,0
BuildingNonResidential,m412.obj,2806,4452,0
BuildingNonResidential,m413.obj,3749,7282,0
BuildingNonResidential,m414.obj,3964,7760,0
BuildingNonResidential,m415.obj,3300,6500,0
BuildingNonResidential,m416.obj,7056,13542,0
BuildingNonResidential,m418.obj,3314,6312,0
BuildingNonResidential,m420.obj,7225,12960,0
BuildingNonResidential,m421.obj,6853,11000,0
BuildingNonResidential,m470.obj,14362,28365,0
BuildingNonResidential,m471.obj,4117,8306,0
BuildingNonResidential,m472.obj,4544,9076,0
BuildingNonResidential,m474.obj,2037,4022,0
BuildingNonResidential,m475.obj,2614,4900,0
BuildingNonResidential,m477.obj,2386,4185,0
BuildingNonResidential,m478.obj,3808,6872,0
BuildingNonResidential,m479.obj,4624,8692,0
BuildingNonResidential,m481.obj,4134,7636,0
Bus,D00084.obj,12919,75870,0
Bus,D00114.obj,7643,53259,0
Bus,D00151.obj,9415,54282,0
Bus,D00179.obj,5976,42567,0
Bus,D00182.obj,13436,86502,0
Bus,D00264.obj,11096,67185,0
Bus,D00411.obj,4964,34821,0
Bus,D00436.obj,4587,29118,0
Bus,D00446.obj,4915,28227,0
Bus,D00448.obj,7367,42369,0
Bus,D00483.obj,6082,25650,0
Bus,D00516.obj,4096,24888,0
Bus,D00677.obj,11964,65712,0
Bus,D00754.obj,8861,59982,0
Bus,D00769.obj,8963,56925,0
Bus,D00775.obj,9506,65670,0
Bus,D00815.obj,7063,40023,0
Bus,D00823.obj,7367,45333,0
Bus,D00832.obj,3137,18774,0
Bus,D00857.obj,5220,28053,0
Car,D00168.obj,4350,8157,0
Car,D00236.obj,26704,45234,0
Car,D00260.obj,35859,57440,0
Car,D00265.obj,4958,9157,0
Car,D00299.obj,22232,44574,0
Car,D00377.obj,8260,16515,0
Car,D00405.obj,12436,24507,0
Car,D00452.obj,23843,47653,0
Car,D00504.obj,5153,9168,0
Car,D00541.obj,2956,4770,0
Car,D00618.obj,3506,5877,0
Car,D00670.obj,3861,6755,0
Car,D00671.obj,19302,37328,0
Car,D00724.obj,17658,29905,0
Car,D00767.obj,10616,20980,0
Car,D00785.obj,7061,11230,0
