Class,FileName,VertexCount,FaceCount,EdgeCount
AircraftBuoyant,m1337.obj,2841,5440,0
AircraftBuoyant,m1338.obj,2500,4844,0
AircraftBuoyant,m1343.obj,2751,5490,0
AircraftBuoyant,m1346.obj,2475,4770,0
AircraftBuoyant,m1348.obj,2486,4793,0
AircraftBuoyant,m1349.obj,2554,5010,0
AircraftBuoyant,m1351.obj,2500,4398,0
Apartment,D00639.obj,2500,4494,0
Apartment,D00792.obj,2520,4514,0
Apartment,m463.obj,2022,3672,0
Apartment,m465.obj,2335,4363,0
AquaticAnimal,m56.obj,2500,4652,0
AquaticAnimal,m58.obj,2671,5338,0
AquaticAnimal,m60.obj,2500,4996,0
AquaticAnimal,m61.obj,2606,4943,0
AquaticAnimal,m62.obj,2486,4968,0
AquaticAnimal,m65.obj,2766,5452,0
AquaticAnimal,m67.obj,2500,4996,0
AquaticAnimal,m68.obj,2500,4992,0
AquaticAnimal,m69.obj,2982,5846,0
AquaticAnimal,m70.obj,2500,4892,0
AquaticAnimal,m71.obj,2500,4996,0
AquaticAnimal,m72.obj,2500,4924,0
AquaticAnimal,m75.obj,2500,4879,0
AquaticAnimal,m79.obj,2500,4649,0
Bed,D00121.obj,2500,4844,0
Bed,D00217.obj,2500,4844,0
Bed,D00322.obj,2500,4912,0
Bed,D00538.obj,2500,4844,0
Bed,D00735.obj,2500,4625,0
Bed,D00988.obj,2500,4936,0
Bed,m946.obj,2508,4686,0
Bed,m948.obj,2500,4844,0
Bed,m949.obj,2500,4976,0
Bicycle,D00514.obj,2500,4230,0
Bicycle,D00567.obj,2888,5820,0
Bicycle,m1476.obj,2500,5044,0
Biplane,D00276.obj,2500,4875,0
Biplane,D00410.obj,2167,4254,0
Biplane,D00632.obj,2500,4736,0
Biplane,D00666.obj,2500,4755,0
Biplane,m1119.obj,2500,4817,0
Biplane,m1136.obj,2500,4810,0
Biplane,m1137.obj,2202,3953,0
Biplane,m1139.obj,2920,4234,0
Bird,D00089.obj,2500,4996,0
Bird,D00113.obj,2500,4960,0
Bird,D00386.obj,2500,4996,0
Bird,D00625.obj,2569,4010,0
Bird,D00762.obj,2533,5062,0
Bird,D00922.obj,2063,4114,0
Bird,m29.obj,2972,5878,0
Bird,m31.obj,2500,4939,0
Bird,m32.obj,2890,5768,0
Bird,m33.obj,2500,4876,0
Bird,m34.obj,2500,4996,0
Bird,m35.obj,2538,5072,0
Bird,m36.obj,2136,4188,0
Bird,m37.obj,2500,4996,0
Bird,m44.obj,2500,4996,0
Bird,m45.obj,2500,4988,0
Bird,m47.obj,2492,4818,0
Bird,m49.obj,2324,4347,0
Bird,m50.obj,2500,4996,0
Bird,m51.obj,2500,4980,0
Bird,m52.obj,2500,4972,0
Bookset,D01013.obj,2200,3380,0
Bookset,D01050.obj,2500,4980,0
Bookset,D01065.obj,2443,3776,0
Bottle,D00020.obj,2357,4710,0
Bottle,D00123.obj,2500,4871,0
Bottle,D00166.obj,2500,4901,0
Bottle,D00176.obj,2500,4996,0
Bottle,D00208.obj,2500,4992,0
Bottle,D00281.obj,2500,4952,0
Bottle,D00311.obj,2033,4058,0
Bottle,D00347.obj,2165,4296,0
Bottle,D00350.obj,2500,4947,0
Bottle,D00390.obj,2500,4981,0
Bottle,D00451.obj,2500,4931,0
Bottle,D00696.obj,2500,4923,0
Bottle,D00711.obj,2621,5176,0
Bottle,D00726.obj,2500,4906,0
Bottle,D00892.obj,2474,4940,0
Bottle,m486.obj,2101,3894,0
Bottle,m488.obj,2500,4996,0
Bottle,m489.obj,2500,4897,0
Bottle,m490.obj,2130,4140,0
Bottle,m491.obj,2065,3952,0
BuildingNonResidential,m383.obj,2328,4460,0
BuildingNonResidential,m385.obj,2500,4058,0
BuildingNonResidential,m386.obj,2500,4944,0
BuildingNonResidential,m387.obj,2617,5214,0
BuildingNonResidential,m391.obj,2500,4281,0
BuildingNonResidential,m393.obj,2500,4539,0
BuildingNonResidential,m395.obj,2635,4502,0
BuildingNonResidential,m396.obj,2209,3692,0
BuildingNonResidential,m397.obj,2500,4956,0
