class; aligned_on_x ; aligned_on_y ; aligned_on_z ; flipped_on_x ; flipped_on_y ; flipped_on_z
AircraftBuoyant;0;0;1;1;1;1
AircraftBuoyant;0;0;1;1;1;1
AircraftBuoyant;0;0;0;1;1;1
AircraftBuoyant;0;0;1;1;1;1
AircraftBuoyant;0;0;0;1;1;1
AircraftBuoyant;0;0;1;1;1;1
AircraftBuoyant;0;0;1;1;1;1
AircraftBuoyant;0;0;1;1;1;1
AircraftBuoyant;0;1;0;1;1;1
AircraftBuoyant;0;1;0;1;1;1
AircraftBuoyant;0;1;0;1;1;1
AircraftBuoyant;1;1;1;1;1;1
AircraftBuoyant;1;1;1;1;1;1
AircraftBuoyant;0;0;0;1;1;1
AircraftBuoyant;1;1;1;1;1;1
Apartment;1;1;1;1;0;0
Apartment;1;1;1;0;1;0
Apartment;1;1;1;0;0;1
Apartment;1;1;1;0;1;0
Apartment;1;1;1;1;0;0
Apartment;1;1;1;0;1;0
Apartment;1;1;1;0;0;0
Apartment;1;1;1;1;0;0
Apartment;1;1;1;1;0;0
Apartment;1;1;1;0;0;0
Apartment;1;1;1;1;0;0
Apartment;1;1;1;0;0;1
Apartment;1;1;1;1;0;0
Apartment;1;1;1;0;0;1
Apartment;0;0;1;1;1;0
Apartment;1;1;1;1;0;1
Apartment;1;1;1;1;0;0
Apartment;1;1;1;0;1;1
Apartment;1;1;0;1;0;0
Apartment;1;1;1;0;1;0
Apartment;0;0;1;1;1;1
Apartment;0;0;1;1;1;1
Apartment;0;0;0;1;1;1
AquaticAnimal;0;1;0;1;1;1
AquaticAnimal;0;1;0;1;1;1
AquaticAnimal;0;1;0;1;1;1
AquaticAnimal;0;1;0;1;1;1
AquaticAnimal;0;1;0;1;1;1
AquaticAnimal;0;1;0;1;1;1
AquaticAnimal;0;0;0;1;1;1
AquaticAnimal;0;1;0;1;1;1
AquaticAnimal;0;1;0;1;1;1
AquaticAnimal;0;1;0;1;1;1
AquaticAnimal;1;1;1;1;1;1
AquaticAnimal;1;1;1;1;1;1
AquaticAnimal;0;1;0;1;1;1
AquaticAnimal;0;1;0;1;1;1
AquaticAnimal;1;0;0;1;1;1
AquaticAnimal;1;1;1;1;1;1
AquaticAnimal;0;0;0;1;1;1
AquaticAnimal;0;0;0;1;1;1
AquaticAnimal;0;1;0;1;1;1
AquaticAnimal;0;0;0;1;1;1
AquaticAnimal;1;1;1;1;1;1
AquaticAnimal;0;1;0;1;1;1
AquaticAnimal;0;0;0;1;1;1
AquaticAnimal;0;1;0;1;1;1
AquaticAnimal;1;0;0;1;1;1
AquaticAnimal;1;1;1;1;1;1
AquaticAnimal;1;0;0;1;1;1
AquaticAnimal;1;0;0;1;1;1
AquaticAnimal;0;0;0;1;1;1
Bed;1;1;1;0;1;1
Bed;1;1;1;0;0;0
Bed;1;1;1;0;1;1
Bed;1;1;1;0;0;0
Bed;1;1;1;1;1;1
Bed;1;1;1;1;1;1
Bed;1;1;1;1;0;1
Bed;0;0;1;1;0;1
Bed;1;1;1;0;1;1
Bed;1;1;1;0;1;1
Bed;1;1;1;0;1;1
Bed;1;1;1;1;1;1
Bed;0;0;1;1;1;0
Bed;1;1;1;0;1;0
Bed;1;1;1;1;0;0
Bed;1;1;1;1;1;1
Bed;1;1;1;0;1;1
Bed;1;1;1;0;0;1
Bed;1;1;1;0;0;0
Bed;1;1;1;0;0;0
Bed;0;0;0;1;1;1
Bed;0;0;0;1;1;1
Bed;0;0;0;1;1;1
Bed;0;0;0;1;1;1
Bed;1;1;1;1;1;1
Bed;0;1;0;1;1;1
Bed;0;0;0;1;1;1
Biplane;1;1;1;0;1;0
Biplane;1;1;1;0;1;1
Biplane;1;1;1;0;1;0
Biplane;1;1;1;0;1;1
Biplane;1;1;1;1;1;0
Biplane;0;0;1;0;1;1
Biplane;1;1;1;1;0;1
Biplane;1;1;1;0;0;1
Biplane;1;1;1;1;0;0
Biplane;1;1;1;0;0;0
Biplane;1;1;1;1;0;0
Biplane;1;1;1;0;1;0
Biplane;1;1;1;0;1;1
Biplane;1;1;1;0;0;0
Biplane;1;1;1;1;0;1
Biplane;1;1;1;1;0;1
Biplane;1;1;1;0;1;1
Biplane;0;0;1;0;1;1
Biplane;1;1;1;0;1;1
Biplane;0;0;1;0;0;1
Biplane;1;0;0;1;1;1
Biplane;1;0;0;1;1;1
Biplane;1;0;0;1;1;1
Biplane;1;1;1;1;1;1
Biplane;1;1;1;1;1;1
Biplane;1;1;1;1;1;1
Biplane;0;0;1;1;1;1
Biplane;1;1;1;1;1;1
Biplane;0;0;1;1;1;1
Biplane;1;1;1;1;1;1
Biplane;1;1;1;1;1;1
Biplane;0;0;0;1;1;1
Biplane;1;1;1;1;1;1
Biplane;0;0;1;1;1;1
Biplane;1;1;1;1;1;1
Biplane;0;0;1;1;1;1
Biplane;0;0;1;1;1;1
Biplane;1;1;1;1;1;1
Biplane;0;0;1;1;1;1
Biplane;1;1;1;1;1;1
Biplane;0;0;1;1;1;1
Biplane;1;0;0;1;1;1
Biplane;0;0;1;1;1;1
Biplane;1;1;1;1;1;1
Biplane;0;0;0;1;1;1
Bird;1;1;1;0;0;0
Bird;1;1;1;0;1;1
Bird;1;1;1;1;1;0
Bird;1;1;1;1;1;1
Bird;1;1;1;0;0;1
Bird;1;1;1;0;1;0
Bird;1;1;1;1;1;1
Bird;1;1;1;0;1;0
Bird;1;1;1;0;0;0
Bird;1;1;1;1;1;0
Bird;1;1;1;0;1;1
Bird;1;1;1;0;0;1
Bird;1;1;1;1;0;0
Bird;1;1;1;0;0;1
Bird;1;1;1;0;1;0
Bird;1;1;1;0;1;0
Bird;1;1;1;1;0;0
Bird;1;1;1;1;1;1
Bird;1;1;1;0;0;1
Bird;1;1;1;0;0;1
Bird;0;1;0;1;1;1
Bird;0;1;0;1;1;1
Bird;0;1;0;1;1;1
Bird;0;0;1;1;1;1
Bird;0;1;0;1;1;1
Bird;0;1;0;1;1;1
Bird;1;0;0;1;1;1
Bird;1;0;0;1;1;1
Bird;0;0;0;1;1;1
Bird;1;0;0;1;1;1
Bird;1;1;1;1;1;1
Bird;1;1;1;1;1;1
Bird;1;1;1;1;1;1
Bird;1;0;0;1;1;1
Bird;1;0;0;1;1;1
Bird;1;0;0;1;1;1
Bird;1;1;1;1;1;1
Bird;1;1;1;1;1;1
Bird;0;0;0;1;1;1
Bird;0;0;0;1;1;1
Bird;1;1;1;1;1;1
Bird;0;1;0;1;1;1
Bird;1;0;0;1;1;1
Bird;0;1;0;1;1;1
Bookset;1;0;0;1;1;1
Bookset;0;0;0;1;1;1
Bookset;1;0;0;1;1;1
Bookset;0;0;0;1;1;1
Bookset;1;1;0;0;1;1
Bookset;0;1;0;1;1;1
Bookset;1;0;0;1;1;1
Bookset;1;0;0;1;1;1
Bookset;1;1;1;1;1;1
Bookset;0;0;0;1;1;1
Bookset;0;0;0;1;1;1
Bookset;0;1;0;1;1;1
Bookset;1;0;0;1;1;1
Bookset;1;0;0;1;1;1
Bookset;1;1;1;1;1;1
Bookset;0;1;0;0;1;1
Bookset;0;0;0;1;1;1
Bookset;0;1;0;1;1;1
Bookset;0;0;0;1;0;1
Bookset;1;0;0;1;1;1
Bottle;1;1;1;1;1;0
Bottle;1;1;1;0;0;0
Bottle;1;1;1;0;0;1
Bottle;1;1;1;1;1;1
Bottle;1;1;1;1;1;0
Bottle;1;1;1;0;0;1
Bottle;1;1;1;1;0;0
Bottle;1;1;1;0;1;0
Bottle;1;1;1;0;1;1
Bottle;1;0;0;1;0;1
Bottle;1;1;1;1;0;0
Bottle;1;1;1;1;0;0
Bottle;1;1;1;0;1;0
Bottle;1;1;1;0;1;1
Bottle;1;1;1;1;1;1
Bottle;1;1;1;1;1;1
Bottle;1;1;1;1;0;0
Bottle;1;0;0;1;1;1
Bottle;1;1;1;0;1;0
Bottle;1;1;1;0;0;0
Bottle;0;0;1;1;1;1
Bottle;0;0;0;1;1;1
Bottle;0;0;1;1;1;1
Bottle;0;0;0;1;1;1
Bottle;0;0;1;1;1;1
Bottle;0;0;1;1;1;1
Bottle;1;1;1;1;1;1
Bottle;0;0;1;1;1;1
Bottle;0;0;1;1;1;1
Bottle;0;0;1;1;1;1
Bottle;0;0;0;1;1;1
BuildingNonResidential;1;0;0;1;1;1
BuildingNonResidential;0;0;1;1;1;1
BuildingNonResidential;1;0;0;1;1;1
BuildingNonResidential;1;1;1;1;1;1
BuildingNonResidential;1;0;0;1;1;1
BuildingNonResidential;0;0;0;1;1;1
BuildingNonResidential;0;0;0;1;1;1
BuildingNonResidential;0;1;0;1;1;1
BuildingNonResidential;0;1;0;1;1;1
BuildingNonResidential;1;1;1;1;1;1
BuildingNonResidential;1;0;0;1;1;1
BuildingNonResidential;0;0;0;1;1;1
BuildingNonResidential;0;0;0;1;1;1
BuildingNonResidential;0;0;0;1;1;1
BuildingNonResidential;0;0;0;1;1;1
