class; vertices;faces;triangles;quads;bmin; bmax
AircraftBuoyant;201;340;340;0;(0, 0, 0);(0.889234, 0.975, 0.889234)
AircraftBuoyant;8761;16960;16960;0;(0, 0, 0);(0.933058, 0.975, 0.937901)
AircraftBuoyant;1878;6173;6173;0;(0, 0, 0);(0.607072, 0.975, 0.626812)
AircraftBuoyant;778;1457;1457;0;(0, 0, 0);(0.367686, 0.975, 0.367689)
AircraftBuoyant;425;824;824;0;(0, 0, 0);(0.379575, 0.975, 0.379575)
AircraftBuoyant;1252;2305;2305;0;(0, 0, 0);(0.611587, 0.975, 0.60936)
AircraftBuoyant;178;344;344;0;(0, 0, 0);(0.710921, 0.975, 0.710921)
AircraftBuoyant;1093;1930;1930;0;(0, 0, 0);(0.674099, 0.975, 0.6741)
AircraftBuoyant;3174;6000;6000;0;(0, 0, 0);(0.601277, 0.975, 0.601277)
AircraftBuoyant;742;1375;1375;0;(0, 0, 0);(0.322079, 0.354725, 0.975)
AircraftBuoyant;3055;6274;6274;0;(0, 0, 0);(0.312086, 0.419881, 0.975)
AircraftBuoyant;795;1382;1382;0;(0, 0, 0);(0.321693, 0.354958, 0.975)
AircraftBuoyant;432;640;640;0;(0, 0, 0);(0.975, 0.385203, 0.273648)
AircraftBuoyant;1097;1976;1976;0;(0, 0, 0);(0.975, 0.291317, 0.305022)
AircraftBuoyant;12987;24466;24466;0;(0, 0, 0);(0.2083, 0.219243, 0.975)
AircraftBuoyant;3298;6348;6348;0;(0, 0, 0);(0.975, 0.376642, 0.332621)
Apartment;14865;21021;21021;0;(-0.613186, -0.700915, -0.532017);(0.829027, 0.770415, 0.354253)
Apartment;20493;42064;42064;0;(-0.920883, -0.343487, -0.415469);(0.863162, 1.32482, 0.293879)
Apartment;10827;21140;21140;0;(-0.782682, -0.514535, -0.317783);(0.776339, 0.633157, 0.198885)
Apartment;12732;19380;19380;0;(-0.81948, -0.742071, -0.667138);(0.881168, 0.842832, 0.566733)
Apartment;14464;9480;9480;0;(-0.744656, -0.389316, -0.368775);(1.03298, 0.494357, 0.339434)
Apartment;2006;3008;3008;0;(-0.94171, -0.40949, -0.813025);(0.725458, 0.566411, 0.205192)
Apartment;1294;2540;2540;0;(-0.895467, -0.856715, -0.663917);(0.745644, 0.59104, 0.529402)
Apartment;19857;25206;25206;0;(-0.780623, -0.760414, -0.478043);(0.910492, 0.404719, 0.451362)
Apartment;7737;2579;2579;0;(-0.643419, -0.704659, -0.341188);(1.15353, 0.878216, 0.259608)
Apartment;73184;64688;64688;0;(-0.885934, -0.597769, -0.512373);(0.906987, 0.33114, 0.382066)
Apartment;4849;7980;7980;0;(-0.542818, -0.544259, -0.687879);(1.14108, 0.500059, 0.449116)
Apartment;12732;19380;19380;0;(-0.948858, -0.950931, -0.556634);(0.916559, 0.904251, 0.661818)
Apartment;13823;15557;15557;0;(-0.681671, -0.790363, -0.471744);(1.09453, 0.587597, 0.656092)
Apartment;8240;13684;13684;0;(-0.977731, -0.618236, -0.189083);(0.789199, 0.449639, 0.33395)
Apartment;1327;1158;1158;0;(-0.795163, -0.965409, -0.669296);(1.10354, 0.963376, 0.859246)
Apartment;1378;2163;2163;0;(-0.824176, -0.692473, -0.33128);(1.07379, 0.611025, 0.211846)
Apartment;19857;25206;25206;0;(-0.764923, -0.760034, -0.474753);(0.927037, 0.399913, 0.451175)
Apartment;4930;9069;9069;0;(-0.984513, -0.521765, -0.380646);(0.688383, 0.644962, 0.551785)
Apartment;12842;7983;7983;0;(-0.850705, -0.487423, -0.558467);(0.822601, 0.545748, 0.554978)
