class; aligned_on_x ; aligned_on_y ; aligned_on_z ; flipped_on_x ; flipped_on_y ; flipped_on_z
Cone;0;0;1;1;1;1
Cube;0;1;0;1;1;1
Cylinder;1;1;1;1;1;1
Sphere;1;1;1;1;1;1
class; aligned_on_x ; aligned_on_y ; aligned_on_z ; flipped_on_x ; flipped_on_y ; flipped_on_z
Cone;0;0;1;1;1;1
Cube;0;1;0;1;1;1
Cylinder;1;1;1;1;1;1
Sphere;1;1;1;1;1;1
class; aligned_on_x ; aligned_on_y ; aligned_on_z ; flipped_on_x ; flipped_on_y ; flipped_on_z
Cone;0;0;1;1;1;1
Cube;0;1;0;1;1;1
Cylinder;1;1;1;1;1;1
Sphere;1;1;1;1;1;1
class; aligned_on_x ; aligned_on_y ; aligned_on_z ; flipped_on_x ; flipped_on_y ; flipped_on_z
Cone;0;0;1;1;1;1
Cube;0;1;0;1;1;1
Cylinder;1;1;1;1;1;1
Sphere;1;1;1;1;1;1
class; aligned_on_x ; aligned_on_y ; aligned_on_z ; flipped_on_x ; flipped_on_y ; flipped_on_z
Cone;0;0;1;1;1;1
Cube;0;1;0;1;1;1
Cylinder;1;1;1;1;1;1
Sphere;1;1;1;1;1;1
class; aligned_on_x ; aligned_on_y ; aligned_on_z ; flipped_on_x ; flipped_on_y ; flipped_on_z
Cone;0;0;1;1;1;1
Cube;0;1;0;1;1;1
Cylinder;1;1;1;1;1;1
Sphere;1;1;1;1;1;1
